Problem,Method,Seed,Period,Error,Success Rate
MDSLEN,PushGP+HP+ARM,1011,Test,19.0,False
MDSLEN,PushGP+HP+ARM,1012,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1012,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1013,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1013,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1014,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1014,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1015,Train,4.0,False
MDSLEN,PushGP+HP+ARM,1015,Test,196.0,False
MDSLEN,PushGP+HP+ARM,1016,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1016,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1017,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1017,Test,2.0,False
MDSLEN,PushGP+HP+ARM,1018,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1018,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1019,Train,3.0,False
MDSLEN,PushGP+HP+ARM,1019,Test,247.0,False
MDSLEN,PushGP+HP+ARM,1020,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1020,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1021,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1021,Test,35.0,False
MDSLEN,PushGP+HP+ARM,1022,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1022,Test,3.0,False
MDSLEN,PushGP+HP+ARM,1023,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1023,Test,0.0,True
MDSLEN,PushGP+HP+ARM,1024,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1024,Test,16.0,False
MDSLEN,PushGP+HP+ARM,1025,Train,0.0,True
MDSLEN,PushGP+HP+ARM,1025,Test,112.0,False
MDSLEN,PushGP,1001,Train,4.0,False
MDSLEN,PushGP,1001,Test,354.0,False
MDSLEN,PushGP,1002,Train,59.0,False
MDSLEN,PushGP,1002,Test,880.0,False
MDSLEN,PushGP,1003,Train,0.0,True
MDSLEN,PushGP,1003,Test,24.0,False
